"ID";"ARTIST";"TITLE";"BARCODE";"UNIT";"FORMAT";"LABEL";"PRICE";"PRECISION";"DELIVERY";"STOCK";"DATE"
"2266";"V.A.";"That´s Jazz - The Alum";"7619943022661";"1";"CD";"Power Station";"325";"0";"1";"2";""
"VMD 6502";"Notes From The Underground";"Notes From The Underground";"029667017220";"1";"CD";"Vanguard";"429";"0";"1";"2";"30.01.2006"
"RGNET1239CD";"VA";"The Rough Guide To Salsa Dance (2nd Edition)";"9781906063641";"1";"CD+DVD";"ROUGH GUIDE";"382";"0";"1";"2";""
"4781045";"STEFANI,GWEN";"THIS IS WHAT THE TRUTH FEELS LIKE";"0602547810458";"1";"CD";"INTERSCOPE";"791";"0";"1";"1";"18.03.2016"
"3925855";"BIRD,WALLIS";"ARCHITECT";"4018939258559";"1";"CD";"CAROLINE RECORDS";"512";"0";"1";"1";"16.12.2016"
"CRAM 277";"ROZZMA";"Donya Fakka";"876623007814";"1";"12'";"CRAMMED DISCS";"875";"0";"1";"2";"10.07.2009"
"2324";"Fats Domino";"The Album";"4260494433241";"1";"CD";"Power Station";"325";"0";"1";"2";""
"TUGCD1056";"Paban Das Baul";"Music Of The Honey Gatherers";"605633005622";"1";"CD";"RIVERBOAT";"425";"0";"1";"1";""
"SJRLP257-2";"VA";"TV Sound & Image: British TV ,Film & Library Compo";"5026328202570";"1";"LP";"Soul Jazz";"1830";"0";"1";"2";"01.07.2012"
"WIGLP374";"BONNIE 'PRINCE' BILLY";"POND SCUM";"0887828037414";"1";"LP";"Domino Records";"1109";"0";"1";"1";"22.01.2016"
"TWI1237CD";"REININGER,BLAINE L.";"BLUE SLEEP,THE";"708527180020";"1";"CD";"CREPUSCULE";"658";"0";"1";"1";"23.03.2018"
"HDB110";"FATIMA AL QADIRI";"SHANEERA EP";"5055869500494";"1";"12'";"HYPERDUB";"562";"0";"1";"2";""
"COUNTCD108";"RAC";"EGO";"5054429008043";"1";"CD";"Ninja Tune";"534";"0";"1";"1";"14.07.2017"
"CRAM 255";"SKIP&DIE";"COSMIC SERPENTS";"876623007265";"1";"CD";"CRAMMED DISCS";"625";"0";"1";"1";"08.07.2009"
"RTRADLPX906";"THE DECEMBERISTS";"I'LL BE YOUR GIRL (white vinyl)";"883870090605";"1";"LP";"Rough Trade";"1595";"0";"1";"3";"15.03.2018"
"TUGCD1108";"Nordic Raga";"Nordic Raga";"605633010824";"1";"CD";"RIVERBOAT";"425";"0";"1";"1";""
"OLE11791";"SNAIL MAIL";"LUSH";"744861117919";"1";"LP";"BBQ-MATADOR";"1305";"0";"1";"1";"07.06.2018"
"7757384";"SHEPP,ARCHIE";"FIRE MUSIC                Vital Vinyl Series";"602577573842";"1";"LP";"IMPULSE";"1200";"0";"1";"6";"23.08.2019"
"HAT26LP";"THE SPITFIRES";"YEAR ZERO";"5053760040071";"1";"LP";"HATCH";"1340";"0";"1";"1";"19.07.2018"
"XMR119CD";"SAINT LEONARD'S HORSES";"GOOD LUCK EVERYBODY";"5056032304185";"1";"CD";"XTRA MILE RECORDINGS";"634";"0";"1";"1";"14.10.2016"
"RMR71741";"Volbeat";"The Strength/The Sound/The...";"8712725717416";"1";"LP";"Mascot";"1000";"0";"1";"1";"26.10.2007"
"MRBCD087";"VARIOUS ARTISTS";"RIO BREAKS OST";"711969119725";"1";"CD";"MR BONGO";"634";"0";"1";"1";"01.01.2014"
"SM029-CD";"Maja";"Fado É Sorte";"5606562620417";"1";"CD";"";"650";"0";"1";"2";""
"HYP012";"KODE9 & THE SPACEAPE";"KILLING SEASON EP";"5055300373540";"1";"12'";"HYPERDUB";"421";"0";"1";"1";""
"GBCD 044";"King Ayisoba";"1000 Can Die";"4030433604427";"1";"CD";"Glitterbeat Records";"688";"0";"1";"3";"31.03.2017"
