,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
5,CRAM 277,ROZZMA,Donya Fakka,876623007814,1,12',CRAMMED DISCS,875,0,1,2,10.07.2009
8,SJRLP257-2,VA,"TV Sound & Image: British TV ,Film & Library Compo",5026328202570,1,LP,Soul Jazz,1830,0,1,2,01.07.2012
9,WIGLP374,BONNIE 'PRINCE' BILLY,POND SCUM,887828037414,1,LP,Domino Records,1109,0,1,1,22.01.2016
11,HDB110,FATIMA AL QADIRI,SHANEERA EP,5055869500494,1,12',HYPERDUB,562,0,1,2, 
14,RTRADLPX906,THE DECEMBERISTS,I'LL BE YOUR GIRL (white vinyl),883870090605,1,LP,Rough Trade,1595,0,1,3,15.03.2018
16,OLE11791,SNAIL MAIL,LUSH,744861117919,1,LP,BBQ-MATADOR,1305,0,1,1,07.06.2018
17,7757384,"SHEPP,ARCHIE",FIRE MUSIC                Vital Vinyl Series,602577573842,1,LP,IMPULSE,1200,0,1,6,23.08.2019
18,HAT26LP,THE SPITFIRES,YEAR ZERO,5053760040071,1,LP,HATCH,1340,0,1,1,19.07.2018
20,RMR71741,Volbeat,The Strength/The Sound/The...,8712725717416,1,LP,Mascot,1000,0,1,1,26.10.2007
23,HYP012,KODE9 & THE SPACEAPE,KILLING SEASON EP,5055300373540,1,12',HYPERDUB,421,0,1,1, 
26,K7358LP,Kerri Chandler,DJ-Kicks,730003735813,2,LP,!K7,1920,0,1,1,20.10.2017
29,ZEN70,AMON TOBIN,OUT FROM OUT WHERE,5021392262185,2,LP,Ninja Tune,1444,0,1,2,05.12.2011
30,3BEAN8LP,SALAD,THE SALAD WAY,5053760051534,1,LP,THREE BEAN RECORDS,1342,0,1,1,30.08.2019
34,DW73,ADAM WINGARD,BLAIR WITCH,5053760025801,1,LP, ,2271,0,1,1,26.07.2019
35,KOMPAKT376,"TEJADA,JOHN",CEOL,880319827617,1,12',KOMPAKT,681,0,1,1,29.09.2017
37,MRBLP193,"SYLVERS,THE","SYLVERS,THE (RSD 2019)",7119691257211,1,LP,MR BONGO,1351,0,1,9,13.04.2019
38,NR107LP,NEUROSIS,PAIN OF MIND,655035310718,1,LP,NEUROT RECORDINGS,1548,0,1,1,29.06.2018
41,bec5156077,cerrone,cerrone iv - the golden touch (gold lp - gtf +cd),5060421560779,1,LP,Because Music,1218,0,1,1,30.10.2015
44,VILELP823,MY DYING BRIDE,TOWARDS THE SINISTER,801056882318,1,12',Snapper,1224,0,1,1,02.08.2019
45,0212927EMX,Toto,Toto-35th Anniversary Tour-Live(Ltd.),4029759129271,1,LP+CD,EMX,1689,0,1,4,06.07.2018
48,2734647,ABBA,RING RING,602527346472,1,LP,POLYDOR,1458,0,1,1,24.10.2014
49,SUNLP1220,JOHNNY CASH,WITH HIS HOT AND BLUE GUITAR,803415827817,1,LP,Snapper,1204,0,1,2,20.07.2018
52,dh019,Kincaid feat. Blancmange,Big Fat Head (w/ Moscoman & Trikk Remix),730003655531,1,12',Disco Halal,761,0,1,1,22.03.2019
53,4795807,BERNSTEIN/WPH,SYMPHONIE NR.5            Live At Alte Oper/Frankf,28947958079,2,LP,DG,1870,0,1,3,18.03.2016
59,SJRLP405,VA,Brasil : New 2018 Edition (Recorded in Rio De Jane,5026328004051,1,LP,Soul Jazz,1588,0,1,2,01.01.2018
61,19075830571,"Franklin, Aretha",Sunday Morning Classics,190758305714,1,LP,Columbia/Legacy,1579,0,1,1,27.04.2018
62,CRAM 156 LP,LONELY DRIFTER KAREN,FALL OF SPRING,876623006114,1,LP,CRAMMED DISCS,1125,0,1,1, 
63,PFRWAX009,Pavel Ludin,Framework EP,4250382437550,1,LP,Poker Flat R,910,0,1,1,26.04.2019
